id;tracked_at;latitude;longitude;geom;accuracy;new_track;created_at;trip_id;user_id;altitude;speed
3222876860;2019-09-27 07:00:52.319999+00;40.42500682421098;-3.6827388090418838;0101000020E6100000EA5BC4C33F760DC01048A59F66364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876861;2019-09-27 07:01:07.885999+00;40.42494809053371;-3.6827357345123346;0101000020E610000000541C273E760DC083ABF3B264364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876862;2019-09-27 07:01:22.996+00;40.42494745512245;-3.682734552794997;0101000020E61000005FD480883D760DC07A229FAD64364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876863;2019-09-27 07:01:32.664999+00;40.42509907335472;-3.6828401340942456;0101000020E6100000F8A562E374760DC029CF7CA569364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876864;2019-09-27 07:01:39.174999+00;40.42497548372897;-3.682734105397669;0101000020E6100000DC5F744C3D760DC0DE1BBE9865364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876865;2019-09-27 07:01:45.632999+00;40.424960942133524;-3.682798515926799;0101000020E6100000B24D7D115F760DC03A45C21E65364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876866;2019-09-27 07:02:09.055999+00;40.42497451805808;-3.6827806434960264;0101000020E61000001642B1B255760DC0AE58A49065364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876867;2019-09-27 07:02:15.510999+00;40.425018985889515;-3.682805983689136;0101000020E6100000E1A9CBFB62760DC08B49AA0567364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876868;2019-09-27 07:02:29.075+00;40.42495002228075;-3.6827357783531713;0101000020E610000014B0FE2C3E760DC0AD1028C364364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876869;2019-09-27 07:02:44.503+00;40.42497715462591;-3.6827672390910338;0101000020E6100000DD6895AB4E760DC02C55C2A665364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
3222876870;2019-09-27 07:03:00.016+00;40.42496977319404;-3.682718997355233;0101000020E610000035FDAF6035760DC017D4D66865364440;65;f;2019-09-27 05:14:32.451613+00;12688313;MACQI;;
